[ 2026-06-29 23:22:37,280 ] 22 root - INFO - Initiate the ingestion 
[ 2026-06-29 23:22:48,716 ] 66 root - INFO - Performed train test split on the dataframe 
[ 2026-06-29 23:22:48,716 ] 68 root - INFO - Exites split_data_as_train_test method of Data_Ingestion class 
[ 2026-06-29 23:22:48,716 ] 76 root - INFO - Exporting train and file path. 
[ 2026-06-29 23:22:48,762 ] 85 root - INFO - Exported train and test file path.  
[ 2026-06-29 23:22:48,762 ] 24 root - INFO - Data Initiation completed 
[ 2026-06-29 23:22:48,762 ] 29 root - INFO - Initiate the data validation 
[ 2026-06-29 23:22:48,853 ] 33 root - INFO - Required number of columns:2 
[ 2026-06-29 23:22:48,853 ] 34 root - INFO - Data frame has columns:31 
[ 2026-06-29 23:22:48,853 ] 33 root - INFO - Required number of columns:2 
[ 2026-06-29 23:22:48,853 ] 34 root - INFO - Data frame has columns:31 
[ 2026-06-29 23:22:48,965 ] 31 root - INFO - Data validation completed 
[ 2026-06-29 23:22:48,965 ] 34 root - INFO - data transformation started 
[ 2026-06-29 23:22:48,965 ] 56 root - INFO - Entered initiate_data_transformation method 
[ 2026-06-29 23:22:48,965 ] 59 root - INFO - Starting data transformation 
[ 2026-06-29 23:22:48,993 ] 42 root - INFO - Entered get_data_transformer_object method 
[ 2026-06-29 23:22:48,993 ] 48 root - INFO - KNNImputer initialized with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2026-06-29 23:22:49,004 ] 49 root - INFO - Entered the save_object method of MainUtils class 
[ 2026-06-29 23:22:49,006 ] 53 root - INFO - Exited the save_object method of maintils class 
[ 2026-06-29 23:22:49,007 ] 38 root - INFO - data transformation completed 
